SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
SEA-18,SEA-18_A13,"privacy and security notices required by statutory/regulatory-specified rules are identified, consistent, and associated with the specific sensitive/regulated data category.",Technology,171A_3.1.9[a],,2,,,,,x,,,,,,,,,,
SEA-18,SEA-18_A14,privacy and security notices are displayed.,Technology,171A_3.1.9[b],,2,,,,,x,,,,,,,,,,
SEA-18.1,SEA-18.1_A01,Microsoft Windows-based systems are configured to display an approved logon banner before granting access to the system that provides privacy and security notices.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
SEA-18.1,SEA-18.1_A02,a system use notification message with privacy and security notices consistent with applicable CUI rules is displayed before granting access to the system.,Technology,171A_R3_A.03.01.09,,NIST 800-171,,,,,,x,,,,,,,,,
SEA-18.2,SEA-18.2_A01,"where technically feasible, systems utilize a truncated system use notification / logon banner on systems not capable of displaying a logon banner from a centralized source (e.g., Active Directory).",Technology,SCF Created,,1,,,,,,,,,,,,,,,
SEA-18.2,SEA-18.2_A02,a system use notification message with privacy and security notices consistent with applicable CUI rules is displayed before granting access to the system.,Technology,171A_R3_A.03.01.09,,NIST 800-171,,,,,,x,,,,,,,,,
SEA-19,SEA-19_A01,"the user is notified, upon successful logon to the system, of the date and time of the last logon.",Technology,53A_R5_AC-09,,1,,,,x,,,,,,,,,,,
SEA-20,SEA-20_A01,granularity of time measurement for audit record timestamps is defined.,Process,53A_R5_AU-08_ODP,,1,one second granularity of time measurement,,,x,,,,,,,,,,,
SEA-20,SEA-20_A02,internal system clocks are used to generate timestamps for audit records.,Technology,53A_R5_AU-08a.,,1,,,,x,,,,,,,,,,,
SEA-21,SEA-21_A01,"application containers (virtualization approach) are used to isolate to a known set of dependencies, access methods and interfaces.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
SEA-22,SEA-22_A01,unprivileged operating environments are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
SEA-22,SEA-22_A02,privileged operating environments are defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
SEA-22,SEA-22_A03,"privileged operating environments are prohibited from existing within unprivileged operating environments, including physical or virtual deployments of Assets, Applications & Services (AAS).",Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01,TDA-01_A01,a system and services acquisition policy is developed and documented.,Process,53A_R5_SA-01a.[01],,1,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A02,system and services acquisition procedures to facilitate the implementation of the system and services acquisition policy and associated system and services acquisition controls are developed and documented.,Process,53A_R5_SA-01a.[03],,1,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A03,"acquisition strategies, contract tools, and procurement methods are implemented to identify supply chain risks.",Process,171A_R3_A.03.17.02[04],,1,,,,,,x,,,,,,,,,
TDA-01,TDA-01_A04,"acquisition strategies, contract tools, and procurement methods are implemented to protect against supply chain risks.",Process,171A_R3_A.03.17.02[05],,1,,,,,,x,,,,,,,,,
TDA-01,TDA-01_A05,"acquisition strategies, contract tools, and procurement methods are implemented to mitigate supply chain risks.",Process,171A_R3_A.03.17.02[06],,1,,,,,,x,,,,,,,,,
TDA-01,TDA-01_A06,personnel or roles to whom the system and services acquisition policy is to be disseminated is/are defined.,Process,53A_R5_SA-01_ODP[01],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A07,personnel or roles to whom the system and services acquisition procedures are to be disseminated is/are defined.,Process,53A_R5_SA-01_ODP[02],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A08,one or more of the following organization-defined criteria is/are selected: {organization-level. mission/business process-level. system-level}.,Process,53A_R5_SA-01_ODP[03],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A09,an official to manage the system and services acquisition policy and procedures is defined.,People,53A_R5_SA-01_ODP[04],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A10,the frequency at which the current system and services acquisition policy is reviewed / updated is defined.,Process,53A_R5_SA-01_ODP[05],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A11,events that would require the current system and services acquisition policy to be reviewed / updated are defined.,Process,53A_R5_SA-01_ODP[06],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A12,the frequency at which the current system and services acquisition procedures are reviewed / updated is defined.,Process,53A_R5_SA-01_ODP[07],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A13,events that would require the system and services acquisition procedures to be reviewed / updated are defined.,Process,53A_R5_SA-01_ODP[08],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A14,the system and services acquisition policy is disseminated to organization-defined personnel or roles.,Process,53A_R5_SA-01a.[02],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A15,the system and services acquisition procedures are disseminated to organization-defined personnel or roles.,Process,53A_R5_SA-01a.[04],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A16,the organization's system and services acquisition policy addresses purpose.,Process,53A_R5_SA-01a.01(a)[01],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A17,the organization's system and services acquisition policy addresses scope.,Process,53A_R5_SA-01a.01(a)[02],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A18,the organization's system and services acquisition policy addresses roles.,Process,53A_R5_SA-01a.01(a)[03],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A19,the organization's system and services acquisition policy addresses responsibilities.,Process,53A_R5_SA-01a.01(a)[04],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A20,the organization's system and services acquisition policy addresses management commitment.,Process,53A_R5_SA-01a.01(a)[05],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A21,the organization's system and services acquisition policy addresses coordination among organizational entities.,Process,53A_R5_SA-01a.01(a)[06],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A22,the organization's system and services acquisition policy addresses compliance.,Process,53A_R5_SA-01a.01(a)[07],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A23,"the organization's system and services acquisition policy is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines.",Process,53A_R5_SA-01a.01(b),,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A24,"the organization-defined official is designated to manage the development, documentation, and dissemination of the system and services acquisition policy and procedures.",People,53A_R5_SA-01b.,,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A25,the system and services acquisition policy is reviewed / updated organization-defined frequency.,Process,53A_R5_SA-01c.01[01],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A26,the current system and services acquisition policy is reviewed / updated following organization-defined events.,Process,53A_R5_SA-01c.01[02],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A27,the current system and services acquisition procedures are reviewed / updated organization-defined frequency.,Process,53A_R5_SA-01c.02[01],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A28,the current system and services acquisition procedures are reviewed / updated following organization-defined events.,Process,53A_R5_SA-01c.02[02],,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A29,systems or system components supporting mission-essential services or functions are defined.,Process,"53A_R5_SA-23_ODP[01]
53A_R5_SA-23_ODP[02]",,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A30,organization's is employed on organization-defined systems or system components supporting essential services or functions to increase the trustworthiness in those systems or components.,Process,53A_R5_SA-23,,3,,,,x,,,,,,,,,,,
TDA-01,TDA-01_A31,systems security engineering principles to be applied to the development or modification of the system and system components are defined.,Process,171A_R3_A.03.16.01.ODP[01],,2,,,,,,x,,,,,,,,,
TDA-01,TDA-01_A32,"Technology Development & Acquisition (TDA) operations are conducted according to documented policies, standards, procedures and/or other organizational directives.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01,TDA-01_A33,"adequate resources (e.g., people, processes, technologies, data and/or facilities) are provided to support Technology Development & Acquisition (TDA) operations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01,TDA-01_A34,responsibility and authority for the performance of Technology Development & Acquisition (TDA)-related activities are assigned to designated personnel.,People,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01,TDA-01_A35,personnel performing Technology Development & Acquisition (TDA)-related activities have the skills and knowledge needed to perform their assigned duties.,People,SCF Created,,2,,,,,,,,,,,,,,,
TDA-01.1,TDA-01.1_A01,"product management processes are designed and implemented to ensure products, including systems, software and services, are routinely updated to improve functionality and correct security deficiencies.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01.1,TDA-01.1_A02,systems or system components supporting mission-essential services or functions are defined.,Process,"53A_R5_SA-23_ODP[01]
53A_R5_SA-23_ODP[02]",,1,,,,x,,,,,,,,,,,
TDA-01.1,TDA-01.1_A03,organization-defined criteria are employed on systems or system components supporting essential services or functions to increase the trustworthiness in those systems or components.,Process,53A_R5_SA-23,,1,,,,x,,,,,,,,,,,
TDA-01.2,TDA-01.2_A01,integrity validation mechanisms are utilized for security updates.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01.3,TDA-01.3_A01,at least one (1) malware detection tool is used to identify if any known malware exists in the final binaries of the product or security update.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-01.4,TDA-01.4_A01,cybersecurity / data privacy is integrated into emerging Development and Operations (DevOps) to prioritize secure practices throughout the Software Development Lifecycle (SDLC).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02,TDA-02_A01,"cybersecurity / data privacy functional requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04a.[01]
53A_R5_SA-04a.[02]",,1,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A02,"strength of mechanism requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,53A_R5_SA-04b.,,1,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A03,"cybersecurity / data privacy assurance requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04c.[01]
53A_R5_SA-04c.[02]",,1,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A04,"controls needed to satisfy the cybersecurity / data requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04d.[01]
53A_R5_SA-04d.[02]",,1,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A05,"cybersecurity / data privacy documentation requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04e.[01]
53A_R5_SA-04e.[02]",,3,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A06,"requirements for protecting cybersecurity / data privacy documentation, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04f.[01]
53A_R5_SA-04f.[02]",,3,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A07,"the description of the system development environment and environment in which the system is intended to operate, requirements and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,53A_R5_SA-04g.,,3,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A08,"the allocation of responsibility or identification of parties responsible for cybersecurity / data privacy requirements, descriptions and criteria are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,"53A_R5_SA-04h.[01]
53A_R5_SA-04h.[02]",,3,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A09,"the allocation of responsibility or identification of parties responsible for supply chain risk management requirements, descriptions and criteria are included explicitly or by reference using organization-defined criteria.",Process,53A_R5_SA-04h.[03],,3,,,,x,,,,,,,,,,,
TDA-02,TDA-02_A10,"acceptance criteria requirements and descriptions are included explicitly or by reference using in the acquisition contract for the system, system component or system service.",Process,53A_R5_SA-04i.,,3,,,,x,,,,,,,,,,,
TDA-02.1,TDA-02.1_A01,"the developer of the system, system component or system service is required to identify the functions intended for organizational use.",Process,53A_R5_SA-04(09)[01],,1,,,,x,,,,,,,,,,,
TDA-02.1,TDA-02.1_A02,"the developer of the system, system component or system service is required to identify the ports intended for organizational use.",Process,53A_R5_SA-04(09)[02],,1,,,,x,,,,,,,,,,,
TDA-02.1,TDA-02.1_A03,"the developer of the system, system component or system service is required to identify the protocols intended for organizational use.",Process,53A_R5_SA-04(09)[03],,1,,,,x,,,,,,,,,,,
TDA-02.1,TDA-02.1_A04,"the developer of the system, system component or system service is required to identify the services intended for organizational use.",Process,53A_R5_SA-04(09)[04],,1,,,,x,,,,,,,,,,,
TDA-02.2,TDA-02.2_A01,"as required per statutory, regulatory or contractual obligations, only information technology products on the FIPS 201-approved products list for the Personal Identity Verification (PIV) capability implemented within organizational systems are employed.",Technology,53A_R5_SA-04(10),,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A01,cybersecurity / data privacy systems engineering methods are defined.,Process,"53A_R5_SA-04(03)_ODP[01]
53A_R5_SA-04(03)_ODP[02]
53A_R5_SA-04(03)_ODP[03]
53A_R5_SA-04(03)_ODP[04]",,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A02,software development methods are defined.,Process,"53A_R5_SA-04(03)_ODP[05]
53A_R5_SA-04(03)_ODP[06]",,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A03,"testing, evaluation, assessment, verification and validation methods are defined.",Process,53A_R5_SA-04(03)_ODP[07],,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A04,quality control processes are defined.,Process,53A_R5_SA-04(03)_ODP[08],,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A05,"the developer of the system, system component or system service is required to demonstrate the use of a system development life cycle process that includes organization-defined system security engineering methods.",Process,"53A_R5_SA-04(03)(a)
53A_R5_SA-04(03)(b)
53A_R5_SA-04(03)(c)",,1,,,,x,,,,,,,,,,,
TDA-02.3,TDA-02.3_A06,systems security engineering principles to be applied to the development or modification of the system and system components are defined.,Process,171A_R3_A.03.16.01.ODP[01],,2,,,,,,x,,,,,,,,,
TDA-02.3,TDA-02.3_A07,<A.03.16.01.ODP[01]: systems security engineering principles> are applied to the development or modification of the system and system components.,Process,171A_R3_A.03.16.01,"US DoD ODP Value: Guidance: At a minimum, documentation that provides user and administrator guidance for the implementation and operation of controls. The level of detail required in such documentation should be based on the degree to which organizations depend on the capabilities, functions, or mechanisms to meet risk response expectations. Requirements can include mandated configuration settings that specify allowed functions, ports, protocols, and services. Acceptance criteria for systems, system components, and system services are defined in the same manner as the criteria for any organizational acquisition or procurement. ",NIST 800-171,"Guidance: At a minimum, documentation that provides user and administrator guidance for the implementation and operation of controls. The level of detail required in such documentation should be based on the degree to which organizations depend on the capabilities, functions, or mechanisms to meet risk response expectations. Requirements can include mandated configuration settings that specify allowed functions, ports, protocols, and services. Acceptance criteria for systems, system components, and system services are defined in the same manner as the criteria for any organizational acquisition or procurement. ",,,,,x,,,,,,,,,
TDA-02.4,TDA-02.4_A01,"pre-established security configurations for the system, component or service are defined.",Process,53A_R5_SA-04(05)_ODP,,1,,,,x,,,,,,,,,,,
TDA-02.4,TDA-02.4_A02,"the developer of the system, system component or system service is required to deliver the system, component or service with pre-established security configurations implemented.",Process,53A_R5_SA-04(05)(a),,1,,,,x,,,,,,,,,,,
TDA-02.4,TDA-02.4_A03,"the pre-established configurations are used as the default for any subsequent system, component or service reinstallation or upgrade.",Technology,53A_R5_SA-04(05)(b),,1,,,,x,,,,,,,,,,,
TDA-02.5,TDA-02.5_A01,"process owners identify necessary ports, protocols and other services necessary to operate their technology solutions.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.5,TDA-02.5_A02,"process owners document legitimate business justifications for the ports, protocols and other services necessary to operate their technology solutions.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.6,TDA-02.6_A01,"risks associated with the use of insecure ports, protocols and services necessary to operate technology solutions are appropriately mitigated.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.7,TDA-02.7_A01,cybersecurity / data privacy representatives to be included in the configuration change management and control process are defined.,Process,"53A_R5_SA-10(07)_ODP[01]
53A_R5_SA-10(07)_ODP[02]",,1,,,,x,,,,,,,,,,,
TDA-02.7,TDA-02.7_A02,configuration change management and control processes in which cybersecurity / data privacy representatives are required to be included are defined.,Process,"53A_R5_SA-10(07)_ODP[03]
53A_R5_SA-10(07)_ODP[04]",,1,,,,x,,,,,,,,,,,
TDA-02.7,TDA-02.7_A03,organization-defined cybersecurity / data privacy representatives are required to be included in the organization-defined configuration change management and control processes.,Process,"53A_R5_SA-10(07)[01]
53A_R5_SA-10(07)[02]",,1,,,,x,,,,,,,,,,,
TDA-02.8,TDA-02.8_A01,the attack surface of products and/or services is minimized by reasonably mitigating known exploitable vulnerabilities.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.9,TDA-02.9_A01,"security updates are delivered to products and/or services, where applicable, through automatic updates.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.9,TDA-02.9_A02,"security updates are delivered to products and/or services, where applicable, through notification of available updates to affected users.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.10,TDA-02.10_A01,an appropriate level of security and resiliency for products and/or services is defined.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.10,TDA-02.10_A02,products and/or services are regularly reviewed for an appropriate level of security and resiliency based on applicable risks and threats.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.11,TDA-02.11_A01,stakeholder vulnerability disclosures contain a description of the vulnerability(ies).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.11,TDA-02.11_A02,stakeholder vulnerability disclosures contain information about affected product(s) and/or service(s).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.11,TDA-02.11_A03,stakeholder vulnerability disclosures contain information about potential impact of the vulnerability(ies).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.11,TDA-02.11_A04,stakeholder vulnerability disclosures contain information about the severity of the vulnerability(ies).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.11,TDA-02.11_A05,stakeholder vulnerability disclosures contain information about guidance to remediate the vulnerability(ies).,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.12,TDA-02.12_A01,a categorization scheme for products and/or services with digital elements is developed to define security and resiliency requirements.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.12,TDA-02.12_A02,products and/or services with digital elements are categorized according to applicable security and resiliency requirements.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.13,TDA-02.13_A01,"applicable stakeholders are notified about potentially exploitable vulnerabilities in organization-developed products and/or services, as required by statutory, regulatory and/or contractual obligations.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-02.14,TDA-02.14_A01,industry-defined secure logging formats are used to generate event logs.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-03,TDA-03_A01,the organization only uses Commercial Off-the-Shelf (COTS) security products. ,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-03,TDA-03_A02,"for classified environments, only Government Off-The-Shelf (GOTS)or Commercial Off-The-Shelf (COTS) information assurance and information assurance-enabled information technology products that compose an NSA-approved solution are employed.",Technology,53A_R5_SA-04(06)(a),,3,,,,x,,,,,,,,,,,
TDA-03,TDA-03_A03,"for classified environments, GOTS and COTS products have been evaluated and/or validated by NSA or in accordance with NSA-approved procedures.",Process,53A_R5_SA-04(06)(b),,3,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A01,system components with a diverse set of sources are defined.,Process,53A_R5_SR-03(01)_ODP[01],,1,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A02,services with a diverse set of sources are defined.,Process,53A_R5_SR-03(01)_ODP[02],,1,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A03,a diverse set of sources is employed for system components.,Process,53A_R5_SR-03(01)[01],,1,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A04,a diverse set of sources is employed for services.,Process,53A_R5_SR-03(01)[02],,1,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A05,controls to be allocated are defined.,Process,53A_R5_PL-08(02)_ODP[01],,3,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A06,locations and architectural layers are defined.,Process,53A_R5_PL-08(02)_ODP[02],,3,,,,x,,,,,,,,,,,
TDA-03.1,TDA-03.1_A07,controls that are allocated to locations and architectural layers are required to be obtained from different suppliers.,Process,53A_R5_PL-08(02),,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A01,"administrator documentation for the system, system component or system service that describes the secure configuration of the system, component or service is obtained or developed.",Process,53A_R5_SA-05a.01[01],,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A02,"administrator documentation for the system, system component or system service that describes the secure installation of the system, component or service is obtained or developed.",Process,53A_R5_SA-05a.01[02],,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A03,"administrator documentation for the system, system component or system service that describes the secure operation of the system, component or service is obtained or developed.",Process,53A_R5_SA-05a.01[03],,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A04,"administrator documentation for the system, system component or system service that describes the effective use of cybersecurity / data privacy functions and mechanisms is obtained or developed.",Process,"53A_R5_SA-05a.02[01]
53A_R5_SA-05a.02[03]",,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A05,"administrator documentation for the system, system component or system service that describes the effective maintenance of cybersecurity / data privacy functions and mechanisms is obtained or developed.",Process,"53A_R5_SA-05a.02[02]
53A_R5_SA-05a.02[04]",,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A06,"user documentation for the system, system component or system service that describes user-accessible cybersecurity / data privacy functions and mechanisms is obtained or developed.",Process,"53A_R5_SA-05b.01[01]
53A_R5_SA-05b.01[03]",,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A07,"user documentation for the system, system component or system service that describes how to effectively use those (user-accessible cybersecurity / data privacy) functions and mechanisms is obtained or developed.",Process,"53A_R5_SA-05b.01[02]
53A_R5_SA-05b.01[04]",,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A08,"user documentation for the system, system component or system service that describes methods for user interaction, which enable individuals to use the system, component or service in a more secure manner is obtained or developed.",Process,53A_R5_SA-05b.02[01],,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A09,"user documentation for the system, system component or system service that describes methods for user interaction, which enable individuals to use the system, component or service to protect individual privacy is obtained or developed.",Process,53A_R5_SA-05b.02[02],,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A10,"user documentation for the system, system component or system service that describes user responsibilities for maintaining the cybersecurity / data privacy of the system, component or service is obtained or developed.",Process,"53A_R5_SA-05b.03[01]
53A_R5_SA-05b.03[02]",,1,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A11,"actions to take when system, system component or system service documentation is either unavailable or nonexistent are defined.",Process,53A_R5_SA-05_ODP[01],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A12,personnel or roles to distribute system documentation to is/are defined.,Process,53A_R5_SA-05_ODP[02],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A13,"administrator documentation for the system, system component or system service that describes known vulnerabilities regarding the configuration of administrative or privileged functions is obtained or developed.",Process,53A_R5_SA-05a.03[01],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A14,"administrator documentation for the system, system component or system service that describes known vulnerabilities regarding the use of administrative or privileged functions is obtained or developed.",Process,53A_R5_SA-05a.03[02],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A15,"attempts to obtain system, system component or system service documentation when such documentation is either unavailable or nonexistent is documented.",Process,53A_R5_SA-05c.[01],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A16,"after attempts to obtain system, system component or system service documentation when such documentation is either unavailable or nonexistent, actions are taken in response.",Process,53A_R5_SA-05c.[02],,3,,,,x,,,,,,,,,,,
TDA-04,TDA-04_A17,documentation is distributed to personnel or roles.,Process,53A_R5_SA-05d.,,3,,,,x,,,,,,,,,,,
TDA-04.1,TDA-04.1_A01,"the developer of the system, system component or system service is required to provide a description of the functional properties of the controls to be implemented.",Process,53A_R5_SA-04(01),,1,,,,x,,,,,,,,,,,
TDA-04.1,TDA-04.1_A02,"organization-defined criteria for security-relevant information pertaining to external system interfaces, high-level design, low-level design, source code or hardware schematics and design and implementation information are documented in a System Security & Privacy Plan (SSPP), or similar document.",Process,53A_R5_SA-04(02)_ODP[01],,1,at a minimum to include security-relevant external system interfaces; high-level design; low-level design; source code or network and data flow diagram,,,x,,,,,,,,,,,
TDA-04.1,TDA-04.1_A03,design and implementation information is defined.,Process,53A_R5_SA-04(02)_ODP[02],,1,,,,x,,,,,,,,,,,
TDA-04.1,TDA-04.1_A04,level of detail is defined.,Process,53A_R5_SA-04(02)_ODP[03],,1,,,,x,,,,,,,,,,,
TDA-04.1,TDA-04.1_A05,"the developer of the system, system component or system service is required to provide design and implementation information for the controls that includes using at level of detail.",Process,53A_R5_SA-04(02),,1,,,,x,,,,,,,,,,,
TDA-04.2,TDA-04.2_A01,"a Software Bill of Materials (SBOM) for systems, applications and services lists software packages in use, including versions and applicable licenses.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-05,TDA-05_A01,"the developer of the system, system component or system service is required to produce a design specification and cybersecurity / data privacy architecture that are consistent with the organization's security architecture, which is an integral part the organization's enterprise architecture.",Process,"53A_R5_SA-17(a)[01]
53A_R5_SA-17(a)[02]",,1,,,,x,,,,,,,,,,,
TDA-05,TDA-05_A02,"the developer of the system, system component or system service is required to produce a design specification and cybersecurity / data privacy architecture that accurately and completely describe the required security functionality and the allocation of controls among physical and logical components.",Process,"53A_R5_SA-17(b)[01]
53A_R5_SA-17(b)[02]",,1,,,,x,,,,,,,,,,,
TDA-05,TDA-05_A03,"the developer of the system, system component or system service is required to produce a design specification and cybersecurity / data privacy architecture that express how individual security functions, mechanisms and services work together to provide required security capabilities and a unified approach to protection.",Process,"53A_R5_SA-17(c)[01]
53A_R5_SA-17(c)[02]",,1,,,,x,,,,,,,,,,,
TDA-05.1,TDA-05.1_A01,physical diagnostic and test interfaces are secured to prevent misuse.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-05.2,TDA-05.2_A01,endpoint devices are configured to log events and generate alerts for attempts to access diagnostic and test interfaces.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06,TDA-06_A01,software development techniques that promote effective cybersecurity / data privacy are identified.,Process,"171A_3.13.2[b]
53A_R5_SA-04(03)_ODP[01]
53A_R5_SA-04(03)_ODP[02]
53A_R5_SA-04(03)_ODP[03]
53A_R5_SA-04(03)_ODP[04]
53A_R5_SA-04(03)_ODP[05]
53A_R5_SA-04(03)_ODP[06]",,1,,,,x,x,,,,,,,,,,
TDA-06,TDA-06_A02,"testing, evaluation, assessment, verification and validation methods are defined.",Process,53A_R5_SA-04(03)_ODP[07],,1,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A03,"cybersecurity / data privacy requirements to be satisfied by the process, standards, tools, tool options and tool configurations are defined.",Process,"53A_R5_SA-15_ODP[02]
53A_R5_SA-15_ODP[03]",,1,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A04,identified software development techniques that promote effective cybersecurity / data privacy are employed.,Process,171A_3.13.2[e],,1,,,,,x,,,,,,,,,,
TDA-06,TDA-06_A05,quality control processes are defined.,Process,53A_R5_SA-04(03)_ODP[08],,3,,,,x,,,,,,,,,,,
